id,session_id,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,tlx_score,submitted_at
614c104b-1594-4b78-bdf2-c17f20ba15e5,9ed086ef-d5d4-4b14-9795-56297b0b9c25,76,37,56,69,71,57,54.67,2025-03-01T09:30:00
5921f8e2-c871-4c5c-abe6-999656a2fae2,7a090b69-f25c-4488-86b7-95eb1ef222e4,71,44,62,57,56,58,55.67,2025-03-01T10:30:00
652be5dc-fd48-49f8-948d-d70e15c889d6,d9d06993-58f9-4351-9291-53d7adcfadf8,75,47,76,68,60,61,58.5,2025-03-02T11:30:00
5f9f19c6-03fa-4324-b747-94c5a5af0e95,19964231-e628-4adf-b644-0ac3c14faf12,81,49,74,74,68,47,57.5,2025-03-02T12:30:00
b6e19f1c-592d-4f60-90de-087ba06c822b,1ff600a8-2e93-4773-988d-bef0dc8f03b0,79,63,48,70,70,69,59.83,2025-03-03T13:30:00
8bef745c-f64c-4f15-956a-e86d31bb4e91,87abf598-c2fa-432b-803c-20075d738060,70,51,70,51,51,69,60.0,2025-03-03T14:30:00
d971b393-2224-4ded-87d1-094a2f6ceaf2,c1ffacd1-36ff-4937-853b-e246ad3653b0,61,37,61,75,64,73,53.5,2025-03-04T15:30:00
d1d5e7d9-6809-47fe-922b-0e448b71f7a2,7ebf92a2-9ffc-4079-bf0d-c3c40dba441f,79,46,42,79,76,65,54.83,2025-03-04T16:30:00
4e668a55-a60e-4c00-be97-447fba0082fb,c02c8ea3-f0f3-4f94-9cf8-699aa340f46d,88,56,70,63,62,63,62.67,2025-03-05T17:30:00
00dec7ef-8a9e-4284-b8fb-2f8c09463d15,f5508c07-a0c3-4dbf-9e39-e13abc50fe45,60,59,68,58,66,31,54.33,2025-03-05T18:30:00
