id,session_id,scenario_type,scenario_order,risk_score,warning_level,outcome,started_at,completed_at
e9dd0176-bc6b-4da8-8d9a-77459fdcb661,9ed086ef-d5d4-4b14-9795-56297b0b9c25,PHISHING,0,0.892,HIGH,COMPLETED_SAFE,2025-03-01T09:00:00,2025-03-01T09:00:52.996314
e57ca302-26e1-4669-be34-2df9bcf939ec,9ed086ef-d5d4-4b14-9795-56297b0b9c25,NEW_DEVICE,1,0.852,HIGH,COMPLETED_SAFE,2025-03-01T09:04:00,2025-03-01T09:04:57.085926
e959f003-f5b9-4e23-93d9-86f9f8f435a4,9ed086ef-d5d4-4b14-9795-56297b0b9c25,FILE_SHARE,2,0.942,HIGH,BYPASSED,2025-03-01T09:08:00,2025-03-01T09:08:49.379008
0879c81b-1934-424f-91d1-da7708191721,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WIFI_ACCESS,3,0.942,HIGH,BYPASSED,2025-03-01T09:12:00,2025-03-01T09:13:14.931670
f50ad8f7-828b-4f75-9ff9-abcbf020a15b,9ed086ef-d5d4-4b14-9795-56297b0b9c25,UNUSUAL_DOWNLOAD,4,0.959,HIGH,BYPASSED,2025-03-01T09:16:00,2025-03-01T09:16:53.447611
47a047e4-f159-4959-8d05-bdebb64a0043,7a090b69-f25c-4488-86b7-95eb1ef222e4,PHISHING,0,0.894,HIGH,BYPASSED,2025-03-01T10:00:00,2025-03-01T10:01:37.043576
0b288e6e-d450-4748-a46e-2a8ee5757259,7a090b69-f25c-4488-86b7-95eb1ef222e4,NEW_DEVICE,1,0.867,HIGH,BYPASSED,2025-03-01T10:04:00,2025-03-01T10:05:12.152124
1bdc6b06-a0f3-473f-9086-64d2e52712ef,7a090b69-f25c-4488-86b7-95eb1ef222e4,FILE_SHARE,2,0.963,HIGH,COMPLETED_SAFE,2025-03-01T10:08:00,2025-03-01T10:09:07.314815
9ebaf715-36ec-4316-89fb-6bd9c364030e,7a090b69-f25c-4488-86b7-95eb1ef222e4,WIFI_ACCESS,3,0.779,HIGH,BYPASSED,2025-03-01T10:12:00,2025-03-01T10:13:09.557198
6691e467-fdc5-4ebe-9e8f-abe3c8fdcaa8,7a090b69-f25c-4488-86b7-95eb1ef222e4,UNUSUAL_DOWNLOAD,4,0.888,HIGH,BYPASSED,2025-03-01T10:16:00,2025-03-01T10:16:58.023449
4e0ca85d-648f-4dab-a102-2fd2af91ae69,d9d06993-58f9-4351-9291-53d7adcfadf8,PHISHING,0,0.892,HIGH,COMPLETED_SAFE,2025-03-02T11:00:00,2025-03-02T11:00:36.845625
5d64a655-acb1-4783-86dc-71ed5070cb95,d9d06993-58f9-4351-9291-53d7adcfadf8,NEW_DEVICE,1,0.79,HIGH,BYPASSED,2025-03-02T11:04:00,2025-03-02T11:05:30.816427
d44a4465-dace-46a9-8713-135fb428a56a,d9d06993-58f9-4351-9291-53d7adcfadf8,FILE_SHARE,2,0.7,HIGH,COMPLETED_SAFE,2025-03-02T11:08:00,2025-03-02T11:09:36.101766
54a1008e-8167-4691-bbca-4d5267610d13,d9d06993-58f9-4351-9291-53d7adcfadf8,WIFI_ACCESS,3,0.846,HIGH,COMPLETED_SAFE,2025-03-02T11:12:00,2025-03-02T11:12:24.743513
