id,session_id,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,tlx_score,submitted_at
dab84bec-f587-4018-8e8f-9a50d72ba4ff,443c3896-1643-4458-a8d4-f15ef884a44c,30,10,13,35,26,37,30.17,2025-03-01T09:30:00
577d3722-ad42-4569-952e-90f18ef70677,1d72ad00-f03f-4ed1-981a-c6754fbfc494,47,17,28,47,22,18,30.83,2025-03-01T10:30:00
bcb48fe5-dcf0-40c6-952a-5085879b6bb2,91defad4-b0a0-4c2e-ba88-7237f05fba8b,35,0,34,32,39,22,33.0,2025-03-02T11:30:00
2ebfd0ad-5b01-4205-b073-6f68d2617aaa,9a4722cf-fdee-4636-ab95-137f0c918aa4,17,9,20,34,23,25,26.67,2025-03-02T12:30:00
2bef4bec-9e11-466c-89bb-5acdb4e4553d,6a3505c9-bd85-4157-8d48-cfc20cb4c3b9,25,13,26,41,39,26,31.33,2025-03-03T13:30:00
9418117f-c185-41a7-898b-b9268a8adc4c,01340b59-0c2d-4067-8210-7e2985511c22,27,5,37,47,22,5,24.83,2025-03-03T14:30:00
615279eb-9b94-4b40-bf2d-cdccfe469c2f,25edbbac-9c27-442b-bba2-1d7c3e336347,37,2,38,42,22,21,29.67,2025-03-04T15:30:00
2c3982e9-35d1-45cf-8606-7ccf4d518972,a1b55201-1b11-4408-bd15-d58150237c6b,44,6,28,43,18,20,28.83,2025-03-04T16:30:00
2e694133-7089-44c2-80ee-0099791e3533,77741433-9a5a-41e1-8989-1d4dd6523093,27,5,38,47,28,29,30.0,2025-03-05T17:30:00
727fd71d-7e7d-4c01-9423-453896ee2d06,bb0d2b72-5f0e-4057-8824-902774bd7c9a,24,12,16,41,18,29,26.33,2025-03-05T18:30:00
