id,session_id,scenario_type,scenario_order,risk_score,warning_level,outcome,started_at,completed_at
e8fade1b-2f22-4951-8e9d-88e4a94989e9,443c3896-1643-4458-a8d4-f15ef884a44c,PHISHING,0,0.038,NONE,COMPLETED_SAFE,2025-03-01T09:00:00,2025-03-01T09:01:00.382282
e7d226b1-4090-4704-8c05-536c644fbbe6,443c3896-1643-4458-a8d4-f15ef884a44c,NEW_DEVICE,1,0.041,NONE,UNSAFE_ACTION,2025-03-01T09:04:00,2025-03-01T09:04:34.714818
e643a6cf-ec70-4048-99a1-9e701336874d,443c3896-1643-4458-a8d4-f15ef884a44c,FILE_SHARE,2,0.115,NONE,UNSAFE_ACTION,2025-03-01T09:08:00,2025-03-01T09:09:20.040837
922dfa28-78c5-4dcf-a349-32e478a5dc3c,443c3896-1643-4458-a8d4-f15ef884a44c,WIFI_ACCESS,3,0.005,NONE,UNSAFE_ACTION,2025-03-01T09:12:00,2025-03-01T09:12:53.107060
ae4d6b0e-a1cc-4e9f-870d-9d58d7d6e7df,443c3896-1643-4458-a8d4-f15ef884a44c,UNUSUAL_DOWNLOAD,4,0.075,NONE,UNSAFE_ACTION,2025-03-01T09:16:00,2025-03-01T09:17:19.487930
5e7e6b8d-cc8f-4a33-bd74-1035c928bf65,1d72ad00-f03f-4ed1-981a-c6754fbfc494,PHISHING,0,0.066,NONE,UNSAFE_ACTION,2025-03-01T10:00:00,2025-03-01T10:00:51.813247
2b26abd5-cd38-4df4-9d4a-dece1049b3ee,1d72ad00-f03f-4ed1-981a-c6754fbfc494,NEW_DEVICE,1,0.065,NONE,UNSAFE_ACTION,2025-03-01T10:04:00,2025-03-01T10:04:58.731989
fc22e8a7-57f3-42e0-bf69-7e12748c62ff,1d72ad00-f03f-4ed1-981a-c6754fbfc494,FILE_SHARE,2,0.157,NONE,UNSAFE_ACTION,2025-03-01T10:08:00,2025-03-01T10:08:48.762171
93e669a8-c0b1-4da6-9232-a7489c13a8b3,1d72ad00-f03f-4ed1-981a-c6754fbfc494,WIFI_ACCESS,3,0.183,NONE,UNSAFE_ACTION,2025-03-01T10:12:00,2025-03-01T10:13:03.000728
056cbe86-c1f8-43bc-a5cc-7da227a47975,1d72ad00-f03f-4ed1-981a-c6754fbfc494,UNUSUAL_DOWNLOAD,4,0.139,NONE,UNSAFE_ACTION,2025-03-01T10:16:00,2025-03-01T10:16:56.992583
57650f49-b379-418e-8d97-b2fbcda8848a,91defad4-b0a0-4c2e-ba88-7237f05fba8b,PHISHING,0,0.005,NONE,UNSAFE_ACTION,2025-03-02T11:00:00,2025-03-02T11:01:00.161807
9e1fb893-cbf0-4965-8384-9b3b07438b3d,91defad4-b0a0-4c2e-ba88-7237f05fba8b,NEW_DEVICE,1,0.167,NONE,UNSAFE_ACTION,2025-03-02T11:04:00,2025-03-02T11:04:39.316857
7236c809-8fd3-4ef0-9026-6df0123ec259,91defad4-b0a0-4c2e-ba88-7237f05fba8b,FILE_SHARE,2,0.18,NONE,COMPLETED_SAFE,2025-03-02T11:08:00,2025-03-02T11:08:51.103603
9985b7b3-f4db-40b1-90fa-072dfff9f1b7,91defad4-b0a0-4c2e-ba88-7237f05fba8b,WIFI_ACCESS,3,0.123,NONE,UNSAFE_ACTION,2025-03-02T11:12:00,2025-03-02T11:12:27.464520
84552d0c-8eb6-4697-a914-a0f001fb3552,91defad4-b0a0-4c2e-ba88-7237f05fba8b,UNUSUAL_DOWNLOAD,4,0.042,NONE,UNSAFE_ACTION,2025-03-02T11:16:00,2025-03-02T11:16:46.782365
0aa0dcda-f609-45df-a62e-e0c2fd4772eb,9a4722cf-fdee-4636-ab95-137f0c918aa4,PHISHING,0,0.023,NONE,COMPLETED_SAFE,2025-03-02T12:00:00,2025-03-02T12:01:08.579757
5a34f53b-e079-4320-bef2-9f289c1e86f1,9a4722cf-fdee-4636-ab95-137f0c918aa4,NEW_DEVICE,1,0.145,NONE,COMPLETED_SAFE,2025-03-02T12:04:00,2025-03-02T12:04:59.342215
14d3bc4a-2871-42ed-95ef-348c0558c1df,9a4722cf-fdee-4636-ab95-137f0c918aa4,FILE_SHARE,2,0.1,NONE,UNSAFE_ACTION,2025-03-02T12:08:00,2025-03-02T12:08:10
64f5ee08-0b02-45df-ad5a-be10675e4b33,9a4722cf-fdee-4636-ab95-137f0c918aa4,WIFI_ACCESS,3,0.043,NONE,COMPLETED_SAFE,2025-03-02T12:12:00,2025-03-02T12:13:17.160317
88685ec2-9276-464b-9e5c-600b3babb8fb,9a4722cf-fdee-4636-ab95-137f0c918aa4,UNUSUAL_DOWNLOAD,4,0.105,NONE,UNSAFE_ACTION,2025-03-02T12:16:00,2025-03-02T12:17:43.139851
b696af52-1dc2-496d-b038-bd9b7b7a2541,6a3505c9-bd85-4157-8d48-cfc20cb4c3b9,PHISHING,0,0.01,NONE,UNSAFE_ACTION,2025-03-03T13:00:00,2025-03-03T13:00:21.877721
