id,session_id,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,tlx_score,submitted_at
9b2429f6-b525-4577-89ba-b6743b38bace,21ebb897-f50a-4182-97e8-7d5de3c55397,31,34,58,50,60,36,44.83,2025-03-01T09:30:00
fd8ca89f-dc04-472b-a4c4-f14f259c49e7,027beda9-9300-4969-b1a6-aac303484e37,50,33,54,57,69,38,47.83,2025-03-01T10:30:00
e5501aa1-3705-4dd3-8eac-cef44c1edef1,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,49,0,40,51,57,45,40.0,2025-03-02T11:30:00
059a0d5f-a707-453b-b90d-7755836d8e4f,161d990d-6ff4-4561-bdb7-e35dd551c32c,72,33,57,48,21,50,47.5,2025-03-02T12:30:00
7dd70085-3be8-42c0-a6ce-837e1b6ad139,30e921b5-7503-4b00-9b0b-cd5f3314ee16,40,19,44,65,55,34,37.83,2025-03-03T13:30:00
748f4e9c-5e04-469f-bca5-ab5ae4f9f05a,3e921ba2-2ec2-4913-9713-17856ed131c4,49,20,41,47,40,46,41.5,2025-03-03T14:30:00
f757be77-2833-46f1-9750-26143febf65f,acead345-9b99-4eb8-accc-ace463359a79,61,23,48,34,47,33,46.33,2025-03-04T15:30:00
d2acdc62-a87b-43a6-a601-b510c79ce189,ce45e023-eb19-41fb-8a07-521a4426e62b,61,22,45,45,52,50,47.5,2025-03-04T16:30:00
8c81569e-d13c-40c0-9bef-1599fbb2f9da,ac74118b-411b-4be3-8df1-febb3b4ad173,56,43,59,70,28,53,44.83,2025-03-05T17:30:00
a2aef4f9-1b01-47a3-b762-12d08dc406b1,236433f5-4b58-42ca-a045-7ff732826e23,43,31,52,59,40,43,41.67,2025-03-05T18:30:00
fe792369-e136-467f-bca0-7a2fb0b8ffb6,89034812-6122-49ee-a74b-80c69ebadf61,61,36,47,77,50,33,41.67,2025-03-06T19:30:00
4607d0a6-8ed9-494e-acc2-9c7582e0cda2,887aef64-c143-4b13-b465-d7243f5bace6,48,20,39,51,44,33,38.83,2025-03-06T20:30:00
1835774c-2d85-4e35-8e12-4e79c8339a83,6b1cd084-d8a1-4b7c-98e4-5d6a16585c37,47,35,38,68,41,57,41.67,2025-03-07T09:30:00
6628a2fe-35a2-4cb8-b6f1-26cd26117be3,dae74111-1e9c-4b75-8b70-7f7d06056baa,38,50,65,45,48,59,52.5,2025-03-07T10:30:00
7ad2429d-a830-4a82-bdd7-8c527b6691f6,3f0bbfc8-ea49-4c5f-8c87-3f3fa1c6b9e6,48,20,44,59,35,30,36.33,2025-03-08T11:30:00
04bc2b3e-01e2-435f-9848-fb7434ad43db,46abd960-f838-48db-901d-7f989538c01d,47,39,34,62,38,42,39.67,2025-03-08T12:30:00
5d142bbe-be43-4ce8-af68-d7b7535796d0,c8f4e76f-7cfc-486c-af8f-c06870364e14,42,39,69,52,57,45,50.0,2025-03-09T13:30:00
ddccaaee-1a77-4d9e-bda1-937b90c99c12,717b07fb-b356-4837-8462-b7ccd72b5e64,74,19,41,59,57,41,45.5,2025-03-09T14:30:00
b6d97477-d1df-4106-99eb-5da6ea295846,95b65272-7617-43a8-8cc6-910de3fc0e61,59,28,57,60,66,52,50.33,2025-03-10T15:30:00
902cc4a4-ac59-41ab-a5ba-6abbd363af83,5276b59c-dd71-491d-a936-9bc2d040743d,59,11,32,70,48,29,34.83,2025-03-10T16:30:00
