id,session_id,scenario_type,scenario_order,risk_score,warning_level,outcome,started_at,completed_at
9fdd3d8e-1e99-4d62-90e2-802ba47ac030,21ebb897-f50a-4182-97e8-7d5de3c55397,PHISHING,0,0.089,NONE,ABANDONED,2025-03-01T09:00:00,2025-03-01T09:00:40.395251
099a0694-3e73-4996-88c0-cb2a48641648,21ebb897-f50a-4182-97e8-7d5de3c55397,NEW_DEVICE,1,0.958,HIGH,COMPLETED_SAFE,2025-03-01T09:04:00,2025-03-01T09:04:26.567229
ee4f3816-9749-474f-9ad4-d4547c4f3200,21ebb897-f50a-4182-97e8-7d5de3c55397,FILE_SHARE,2,0.999,HIGH,BYPASSED,2025-03-01T09:08:00,2025-03-01T09:08:47.500436
a02d0156-226d-428e-9ab7-5594f750744a,21ebb897-f50a-4182-97e8-7d5de3c55397,WIFI_ACCESS,3,0.788,HIGH,COMPLETED_SAFE,2025-03-01T09:12:00,2025-03-01T09:12:18.465762
fcd98966-e3fc-4185-8cef-30e25b9f38f2,21ebb897-f50a-4182-97e8-7d5de3c55397,UNUSUAL_DOWNLOAD,4,0.47,MEDIUM,ABANDONED,2025-03-01T09:16:00,2025-03-01T09:17:07.454596
e1fdff32-60b8-4d1d-8a57-c5e3aa68c0f0,027beda9-9300-4969-b1a6-aac303484e37,PHISHING,0,0.361,LOW,COMPLETED_SAFE,2025-03-01T10:00:00,2025-03-01T10:00:40.505693
3c35f0c4-e2a8-4a71-ac5b-fa5d172de5e4,027beda9-9300-4969-b1a6-aac303484e37,NEW_DEVICE,1,0.897,HIGH,COMPLETED_SAFE,2025-03-01T10:04:00,2025-03-01T10:04:29.926742
d8b32378-8cc4-47d3-89d5-7a285c8b93de,027beda9-9300-4969-b1a6-aac303484e37,FILE_SHARE,2,0.502,MEDIUM,BYPASSED,2025-03-01T10:08:00,2025-03-01T10:08:46.627241
d4cb3fe7-8639-4ca2-89d4-5bfe4ddccf0f,027beda9-9300-4969-b1a6-aac303484e37,WIFI_ACCESS,3,0.894,HIGH,COMPLETED_SAFE,2025-03-01T10:12:00,2025-03-01T10:12:32.923533
8ead9648-0ccf-4953-a68a-bad592f53720,027beda9-9300-4969-b1a6-aac303484e37,UNUSUAL_DOWNLOAD,4,0.859,HIGH,ABANDONED,2025-03-01T10:16:00,2025-03-01T10:17:03.556810
ed5019b7-1dc9-4a89-8ae3-0e048bc7fd22,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,PHISHING,0,0.994,HIGH,ABANDONED,2025-03-02T11:00:00,2025-03-02T11:01:00.776790
22f50bda-847f-468e-8e3f-93496c45f276,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,NEW_DEVICE,1,0.639,MEDIUM,ABANDONED,2025-03-02T11:04:00,2025-03-02T11:05:02.541569
68fea507-e6ea-4480-9ded-43afec197702,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,FILE_SHARE,2,0.212,LOW,BYPASSED,2025-03-02T11:08:00,2025-03-02T11:09:07.860845
888af673-7aa8-4b0f-a26b-34b53a3e6a1d,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,WIFI_ACCESS,3,0.741,HIGH,BYPASSED,2025-03-02T11:12:00,2025-03-02T11:13:14.756895
43a15a6c-22fd-4e18-a561-6f4a86b06e9a,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,UNUSUAL_DOWNLOAD,4,0.429,MEDIUM,COMPLETED_SAFE,2025-03-02T11:16:00,2025-03-02T11:16:17.891530
1a7bd0aa-c287-4b42-a4af-53714e26ac54,161d990d-6ff4-4561-bdb7-e35dd551c32c,PHISHING,0,0.836,HIGH,BYPASSED,2025-03-02T12:00:00,2025-03-02T12:01:03.539166
30763ca6-345e-4a47-a139-ed50127bb60f,161d990d-6ff4-4561-bdb7-e35dd551c32c,NEW_DEVICE,1,0.42,MEDIUM,BYPASSED,2025-03-02T12:04:00,2025-03-02T12:04:58.339202
3112fd59-4faa-45c7-ac66-068ec630cc62,161d990d-6ff4-4561-bdb7-e35dd551c32c,FILE_SHARE,2,0.025,NONE,COMPLETED_SAFE,2025-03-02T12:08:00,2025-03-02T12:08:54.206345
8ea54ac0-c204-4a09-804f-c5e68707b6a1,161d990d-6ff4-4561-bdb7-e35dd551c32c,WIFI_ACCESS,3,0.003,NONE,UNSAFE_ACTION,2025-03-02T12:12:00,2025-03-02T12:12:56.206184
11f1d5a1-b372-4bcf-b39f-31b3f07677f6,161d990d-6ff4-4561-bdb7-e35dd551c32c,UNUSUAL_DOWNLOAD,4,0.858,HIGH,BYPASSED,2025-03-02T12:16:00,2025-03-02T12:17:00.249201
78353cdf-6e2b-4a46-a3a4-69c1dbb5c4ee,30e921b5-7503-4b00-9b0b-cd5f3314ee16,PHISHING,0,0.091,NONE,UNSAFE_ACTION,2025-03-03T13:00:00,2025-03-03T13:00:46.833392
7c073487-1d76-4c18-8111-ddd3ef474065,30e921b5-7503-4b00-9b0b-cd5f3314ee16,NEW_DEVICE,1,0.116,NONE,COMPLETED_SAFE,2025-03-03T13:04:00,2025-03-03T13:04:51.220392
98bbc1ae-f99d-4cac-b494-da577aafae65,30e921b5-7503-4b00-9b0b-cd5f3314ee16,FILE_SHARE,2,0.494,MEDIUM,ABANDONED,2025-03-03T13:08:00,2025-03-03T13:08:35.569994
03825387-7c0d-4412-8da5-113b22715a0c,30e921b5-7503-4b00-9b0b-cd5f3314ee16,WIFI_ACCESS,3,0.765,HIGH,BYPASSED,2025-03-03T13:12:00,2025-03-03T13:12:34.145250
262a6d9c-646c-4f56-afd5-6d5bb02e15b9,30e921b5-7503-4b00-9b0b-cd5f3314ee16,UNUSUAL_DOWNLOAD,4,0.509,MEDIUM,COMPLETED_SAFE,2025-03-03T13:16:00,2025-03-03T13:17:00.940093
baabc5e9-7f14-4ca0-a6a1-00e4660c8823,3e921ba2-2ec2-4913-9713-17856ed131c4,PHISHING,0,0.916,HIGH,ABANDONED,2025-03-03T14:00:00,2025-03-03T14:00:29.158689
349d2e0f-66f0-438e-9230-f40cbe24e384,3e921ba2-2ec2-4913-9713-17856ed131c4,NEW_DEVICE,1,0.161,NONE,UNSAFE_ACTION,2025-03-03T14:04:00,2025-03-03T14:04:56.860769
8f654ebc-8a41-4d56-9975-1d6dc5b4c997,3e921ba2-2ec2-4913-9713-17856ed131c4,FILE_SHARE,2,0.946,HIGH,BYPASSED,2025-03-03T14:08:00,2025-03-03T14:08:22.456079
48c0091f-7bf7-4e89-88fc-0e81471d63e1,3e921ba2-2ec2-4913-9713-17856ed131c4,WIFI_ACCESS,3,0.793,HIGH,COMPLETED_SAFE,2025-03-03T14:12:00,2025-03-03T14:13:31.324032
c5e24024-9cd3-42c2-9299-c929e98cacb9,3e921ba2-2ec2-4913-9713-17856ed131c4,UNUSUAL_DOWNLOAD,4,0.499,MEDIUM,COMPLETED_SAFE,2025-03-03T14:16:00,2025-03-03T14:17:00.705663
1e782f7d-9045-4825-a2f6-1f3f872f7bb6,acead345-9b99-4eb8-accc-ace463359a79,PHISHING,0,0.734,HIGH,COMPLETED_SAFE,2025-03-04T15:00:00,2025-03-04T15:00:49.376675
bfd37b60-3825-4829-9e51-74a40a05b529,acead345-9b99-4eb8-accc-ace463359a79,NEW_DEVICE,1,0.226,LOW,COMPLETED_SAFE,2025-03-04T15:04:00,2025-03-04T15:04:53.693295
3d8db45b-2b5a-4bee-80d1-a014dab84d25,acead345-9b99-4eb8-accc-ace463359a79,FILE_SHARE,2,0.942,HIGH,COMPLETED_SAFE,2025-03-04T15:08:00,2025-03-04T15:08:58.418443
802a6e41-20e9-4748-992f-3a34caf963e9,acead345-9b99-4eb8-accc-ace463359a79,WIFI_ACCESS,3,0.004,NONE,UNSAFE_ACTION,2025-03-04T15:12:00,2025-03-04T15:12:42.405205
302b59f0-82c0-4301-a37b-722562c47033,acead345-9b99-4eb8-accc-ace463359a79,UNUSUAL_DOWNLOAD,4,0.976,HIGH,COMPLETED_SAFE,2025-03-04T15:16:00,2025-03-04T15:17:02.519083
911ee37a-8736-4a2e-b008-e20502ef6865,ce45e023-eb19-41fb-8a07-521a4426e62b,PHISHING,0,0.945,HIGH,COMPLETED_SAFE,2025-03-04T16:00:00,2025-03-04T16:01:18.544837
0c0fb763-6e31-41b1-8bbc-98ebd4fed034,ce45e023-eb19-41fb-8a07-521a4426e62b,NEW_DEVICE,1,0.619,MEDIUM,BYPASSED,2025-03-04T16:04:00,2025-03-04T16:04:16.208014
d36a4420-21af-4b33-a458-ebdfc4ca0b75,ce45e023-eb19-41fb-8a07-521a4426e62b,FILE_SHARE,2,0.084,NONE,UNSAFE_ACTION,2025-03-04T16:08:00,2025-03-04T16:08:35.953200
3fdc0aae-5d69-46c6-9bf0-58e47d1b26fc,ce45e023-eb19-41fb-8a07-521a4426e62b,WIFI_ACCESS,3,0.49,MEDIUM,COMPLETED_SAFE,2025-03-04T16:12:00,2025-03-04T16:13:26.833389
828d6101-c82c-478c-b8f8-5637637bd56e,ce45e023-eb19-41fb-8a07-521a4426e62b,UNUSUAL_DOWNLOAD,4,0.969,HIGH,COMPLETED_SAFE,2025-03-04T16:16:00,2025-03-04T16:16:54.109297
1a4c5b81-8360-425d-af49-b40cf4f796f4,ac74118b-411b-4be3-8df1-febb3b4ad173,PHISHING,0,0.527,MEDIUM,BYPASSED,2025-03-05T17:00:00,2025-03-05T17:01:04.432268
f061458d-33a9-4cba-904e-46a6b3ce15ee,ac74118b-411b-4be3-8df1-febb3b4ad173,NEW_DEVICE,1,0.018,NONE,UNSAFE_ACTION,2025-03-05T17:04:00,2025-03-05T17:04:36.672881
6f38dbce-665f-4fd4-a8a8-e2599947a8ff,ac74118b-411b-4be3-8df1-febb3b4ad173,FILE_SHARE,2,0.663,MEDIUM,BYPASSED,2025-03-05T17:08:00,2025-03-05T17:08:43.096904
2b99597a-d6b9-40c5-a658-c01ae0e48688,ac74118b-411b-4be3-8df1-febb3b4ad173,WIFI_ACCESS,3,0.793,HIGH,COMPLETED_SAFE,2025-03-05T17:12:00,2025-03-05T17:12:37.977409
579974fe-7f36-4400-8925-efdf0df68e51,ac74118b-411b-4be3-8df1-febb3b4ad173,UNUSUAL_DOWNLOAD,4,0.523,MEDIUM,COMPLETED_SAFE,2025-03-05T17:16:00,2025-03-05T17:16:47.623999
157b48a2-6093-42e7-8fa1-94505425d9bc,236433f5-4b58-42ca-a045-7ff732826e23,PHISHING,0,0.739,HIGH,COMPLETED_SAFE,2025-03-05T18:00:00,2025-03-05T18:00:58.832647
a68b67af-7454-468c-9d42-2b5b30b4e0b5,236433f5-4b58-42ca-a045-7ff732826e23,NEW_DEVICE,1,0.469,MEDIUM,COMPLETED_SAFE,2025-03-05T18:04:00,2025-03-05T18:04:48.488815
6840bf53-1461-49ec-83b1-30a4ff6b0fb4,236433f5-4b58-42ca-a045-7ff732826e23,FILE_SHARE,2,0.995,HIGH,BYPASSED,2025-03-05T18:08:00,2025-03-05T18:09:01.611514
3da7ba36-4466-47d9-93d5-14b1942352f5,236433f5-4b58-42ca-a045-7ff732826e23,WIFI_ACCESS,3,0.048,NONE,UNSAFE_ACTION,2025-03-05T18:12:00,2025-03-05T18:13:11.096432
9ecf1328-4c20-47f7-8f8c-1dbb1cdcb9ad,236433f5-4b58-42ca-a045-7ff732826e23,UNUSUAL_DOWNLOAD,4,0.786,HIGH,BYPASSED,2025-03-05T18:16:00,2025-03-05T18:17:15.917104
93c13c7a-708d-4453-9660-f6aa40052ee0,89034812-6122-49ee-a74b-80c69ebadf61,PHISHING,0,0.812,HIGH,COMPLETED_SAFE,2025-03-06T19:00:00,2025-03-06T19:01:26.212517
